original,transformed,Label
The tickets have been booked online.,I have booked the tickets online.,Passive to Active
The astronomer explained that the universe is constantly expanding.,"The astronomer explained, 'The universe is constantly expanding.'",Indirect to Direct Speech
The problem was caused by a misunderstanding.,A misunderstanding caused the problem.,Passive to Active
The manager assigned each team a challenging project.,Each team was assigned a challenging project by the manager.,Active to Passive
She had finished her work.,She had not finished her work.,Positive to Negative
He advised me to always wear a seatbelt.,"He advised me, 'Always wear a seatbelt.'",Indirect to Direct Speech
You should wear a jacket.,You should not wear a jacket.,Positive to Negative
She doesn't like conflict.,She dislikes conflict.,Negative to Positive
The system is not reliable.,The system is unreliable.,Negative to Positive
He has no patience for delays.,He is impatient with delays.,Negative to Positive
It's not an ideal solution.,It's a suboptimal solution.,Negative to Positive
It's not a big deal for me.,It's a small matter for me.,Negative to Positive
They won't allow visitors after hours.,They prohibit visitors after hours.,Negative to Positive
"My brother told me, ""I saw a shooting star last night.""",My brother told me that he had seen a shooting star the previous night.,Direct to Indirect Speech
The news pleased her family.,Her family was pleased by the news.,Active to Passive
"He whispered, ""I'm scared.""",He whispered that he was scared.,Direct to Indirect Speech
The house was bought by a young couple.,A young couple bought the house.,Passive to Active
"She reminded him, ""You have a dental appointment on Wednesday.""",She reminded him that he had a dental appointment on Wednesday.,Direct to Indirect Speech
"He told me, ""I haven't slept a wink.""",He told me that he hadn't slept a wink.,Direct to Indirect Speech
They haven't changed their minds.,Their minds remain unchanged.,Negative to Positive
You should trust your instincts.,You should not trust your instincts.,Positive to Negative
The computer is old.,The computer is not old.,Positive to Negative
"The politician declared, ""We will protect our environment.""",The politician declared that they would protect their environment.,Direct to Indirect Speech
The baby is smiling.,The baby is not smiling.,Positive to Negative
"He boasted, ""I once met the Queen of England.""",He boasted that he had once met the Queen of England.,Direct to Indirect Speech
They were watching a captivating play at the theater.,A captivating play was being watched by them at the theater.,Active to Passive
The council is approving new public art installations.,New public art installations are being approved by the council.,Active to Passive
The solution has been proven effective.,Experiments have proven the solution effective.,Passive to Active
We should be supportive.,We should not be supportive.,Positive to Negative
The report did not mention the issue.,The report omitted the issue.,Negative to Positive
"He boasted, ""I've climbed Mount Everest.""",He boasted that he had climbed Mount Everest.,Direct to Indirect Speech
Someone will have informed the police.,The police will have been informed.,Active to Passive
We watched an exciting movie.,An exciting movie was watched by us.,Active to Passive
He isn't very talkative.,He is quiet.,Negative to Positive
You should respect intellectual property rights.,Intellectual property rights should be respected by you.,Active to Passive
They haven't acknowledged the mistake.,They have ignored the mistake.,Negative to Positive
I don't like vegetables.,I dislike vegetables.,Negative to Positive
The reporter said that the situation was developing rapidly.,"The reporter said, 'The situation is developing rapidly.'",Indirect to Direct Speech
"They advised us, ""You should always look both ways before crossing.""",They advised us that we should always look both ways before crossing.,Direct to Indirect Speech
Our house is being painted this week.,Painters are painting our house this week.,Passive to Active
The students understood the lesson.,The students did not understand the lesson.,Positive to Negative
He has no sense of purpose.,He is purposeless.,Negative to Positive
We didn't expect him to win.,We were surprised by his win.,Negative to Positive
He denied that he had broken the vase.,"He denied, 'I did not break the vase.'",Indirect to Direct Speech
The message was sent by email.,I sent the message by email.,Passive to Active
The students are revising their notes for the exam.,Their notes are being revised by the students for the exam.,Active to Passive
I drink coffee every morning.,Coffee is drunk by me every morning.,Active to Passive
The car is fast.,The car is not fast.,Positive to Negative
I did not forget my keys.,I remembered my keys.,Negative to Positive
"She declared confidently, ""I am capable of achieving my goals.""",She declared confidently that she was capable of achieving her goals.,Direct to Indirect Speech
They complained that the service was poor.,"They complained, 'The service is poor.'",Indirect to Direct Speech
"He admitted reluctantly, ""I am afraid of heights.""",He admitted reluctantly that he was afraid of heights.,Direct to Indirect Speech
She asked how I was planning to spend my vacation.,"She asked, 'How are you planning to spend your vacation?'",Indirect to Direct Speech
He is listening to music.,He is not listening to music.,Positive to Negative
You shouldn't ignore the warning.,You should heed the warning.,Negative to Positive
"He boasted, ""I'm a great cook.""",He boasted that he was a great cook.,Direct to Indirect Speech
You should be understanding.,You should not be understanding.,Positive to Negative
The error has been corrected.,We have corrected the error.,Passive to Active
This task is not impossible.,This task is possible.,Negative to Positive
The manager assigned each team member a specific role.,Each team member was assigned a specific role by the manager.,Active to Passive
He denied that he had ever seen the document.,"He denied, 'I have never seen the document.'",Indirect to Direct Speech
I am taking a break.,I am not taking a break.,Positive to Negative
They haven't responded to my email.,My email remains unanswered.,Negative to Positive
He went to the store.,He did not go to the store.,Positive to Negative
"He argued, ""We must consider all options before making a decision.""",He argued that they had to consider all options before making a decision.,Direct to Indirect Speech
The presenter announced that the next segment would feature a special guest.,"The presenter announced, 'The next segment will feature a special guest.'",Indirect to Direct Speech
"He promised, ""I will protect you from any harm.""",He promised that he would protect her from any harm.,Direct to Indirect Speech
He isn't very supportive.,He is unsupportive.,Negative to Positive
She doesn't like doing chores.,She dislikes doing chores.,Negative to Positive
"He advised, ""You should always save for a rainy day.""",He advised me that I should always save for a rainy day.,Direct to Indirect Speech
I am not feeling well today.,I am feeling unwell today.,Negative to Positive
The severe earthquake caused extensive damage to infrastructure.,Extensive damage to infrastructure was caused by the severe earthquake.,Active to Passive
The new equipment will be tested thoroughly.,Engineers will test the new equipment thoroughly.,Passive to Active
She had finished her coffee.,She had not finished her coffee.,Positive to Negative
"The little boy cried, ""I don't want to go to bed!""",The little boy cried that he didn't want to go to bed.,Direct to Indirect Speech
"She pondered, ""What if I'm making the wrong choice?""",She pondered what if she was making the wrong choice.,Direct to Indirect Speech
The food tasted absolutely delicious.,The food did not taste absolutely delicious.,Positive to Negative
The company is developing new software.,New software is being developed by the company.,Active to Passive
The painting has been authenticated.,Experts have authenticated the painting.,Passive to Active
She's not a very good debater.,She's a poor debater.,Negative to Positive
The decision was communicated by email.,They communicated the decision by email.,Passive to Active
He confessed that he had taken the last slice of pizza.,"He confessed, 'I took the last slice of pizza.'",Indirect to Direct Speech
He is taking a shower right now.,He is not taking a shower right now.,Positive to Negative
"The politician declared, ""We will create more jobs.""",The politician declared that they would create more jobs.,Direct to Indirect Speech
"She wondered aloud, ""When will the train arrive?""",She wondered aloud when the train would arrive.,Direct to Indirect Speech
He is explaining the concept.,He is not explaining the concept.,Positive to Negative
They are discussing the budget.,The budget is being discussed by them.,Active to Passive
"She exclaimed, ""What a wonderful surprise!""",She exclaimed that it was a wonderful surprise.,Direct to Indirect Speech
The employee requested his manager to approve his leave.,"The employee requested his manager, 'Please approve my leave.'",Indirect to Direct Speech
He has never won a major award.,A major award has never been won by him.,Active to Passive
"They complained, ""The music is too loud.""",They complained that the music was too loud.,Direct to Indirect Speech
The report is being reviewed by the manager.,The manager is reviewing the report.,Passive to Active
She asked him where he was going.,"She asked him, 'Where are you going?'",Indirect to Direct Speech
The rules are not flexible.,The rules are inflexible.,Negative to Positive
"He confessed, ""I broke the window with my football.""",He confessed that he had broken the window with his football.,Direct to Indirect Speech
The project needs more funding.,The project does not need more funding.,Positive to Negative
The game was won by a single point.,They won the game by a single point.,Passive to Active
The product is not reliable.,The product is unreliable.,Negative to Positive
They haven't received confirmation.,Confirmation is still pending.,Negative to Positive
"She instructed, ""Close the door quietly.""",She instructed them to close the door quietly.,Direct to Indirect Speech
"The sign clearly stated, ""No Smoking.""",The sign clearly stated that there was no smoking.,Direct to Indirect Speech
The show started at eight.,The show did not start at eight.,Positive to Negative
"He promised, ""I will always remember this moment.""",He promised that he would always remember that moment.,Direct to Indirect Speech
The article was read by millions online.,Millions read the article online.,Passive to Active
Someone has stolen my credit card.,My credit card has been stolen.,Active to Passive
She doesn't tolerate laziness.,She disallows laziness.,Negative to Positive
The old bridge has been demolished.,Workers have demolished the old bridge.,Passive to Active
"My sister complained, ""I'm tired of studying.""",My sister complained that she was tired of studying.,Direct to Indirect Speech
New features are being added to the software.,Developers are adding new features to the software.,Passive to Active
The council will approve the budget.,The budget will be approved by the council.,Active to Passive
She exclaimed that it was a terrible mistake.,"She exclaimed, 'What a terrible mistake!'",Indirect to Direct Speech
He denied that he had seen anything unusual.,"He denied, 'I did not see anything unusual.'",Indirect to Direct Speech
I like history.,I do not like history.,Positive to Negative
The storm had damaged the roof.,The roof had been damaged by the storm.,Active to Passive
His name has been cleared.,The investigation has cleared his name.,Passive to Active
They have understood the problem.,They have not understood the problem.,Positive to Negative
I don't enjoy waking up early.,I dislike waking up early.,Negative to Positive
She wouldn't give up her dream.,She clung to her dream.,Negative to Positive
"She apologized, ""I'm sorry for interrupting.""",She apologized for interrupting.,Direct to Indirect Speech
The new system was implemented without issues.,They implemented the new system without issues.,Passive to Active
It wasn't easy to convince him.,It was difficult to convince him.,Negative to Positive
"They announced, ""We are launching our new website tomorrow.""",They announced that they were launching their new website the next day.,Direct to Indirect Speech
The movie was very interesting.,The movie was not very interesting.,Positive to Negative
You might change your mind.,You might not change your mind.,Positive to Negative
The house had been demolished last year.,They had demolished the house last year.,Passive to Active
We had never heard that story.,That story had never been heard by us.,Active to Passive
You must tell the truth.,You must not tell the truth.,Positive to Negative
The children were singing a beautiful song.,A beautiful song was being sung by the children.,Active to Passive
The public demands efficient public services.,Efficient public services are demanded by the public.,Active to Passive
The experiment was conducted by the scientists.,The scientists conducted the experiment.,Passive to Active
The store opens at 9 AM.,The store does not open at 9 AM.,Positive to Negative
Someone must have sent the email.,The email must have been sent.,Active to Passive
The criminal was interrogated by the detectives.,The detectives interrogated the criminal.,Passive to Active
He said that he had finished his homework.,"He said, 'I have finished my homework.'",Indirect to Direct Speech
She wouldn't apologize for her mistakes.,She refused to apologize for her mistakes.,Negative to Positive
She had a bad day.,She did not have a bad day.,Positive to Negative
"She stated firmly, ""I will not tolerate any nonsense.""",She stated firmly that she would not tolerate any nonsense.,Direct to Indirect Speech
He isn't a fan of spicy food.,He dislikes spicy food.,Negative to Positive
"The manager instructed, ""Ensure all tasks are completed by end of day.""",The manager instructed them to ensure all tasks were completed by end of day.,Direct to Indirect Speech
You might want to reconsider.,You might not want to reconsider.,Positive to Negative
She wouldn't give in to their demands.,She resisted their demands.,Negative to Positive
"The doctor instructed, ""Drink plenty of fluids.""",The doctor instructed me to drink plenty of fluids.,Direct to Indirect Speech
He is writing an email.,He is not writing an email.,Positive to Negative
"The guard yelled, ""Don't move!""",The guard yelled at them not to move.,Direct to Indirect Speech
She denied having received the package.,"She denied, 'I did not receive the package.'",Indirect to Direct Speech
The invitations will be sent out next week.,We will send out the invitations next week.,Passive to Active
It's not a simple matter.,It's a complex matter.,Negative to Positive
She couldn't recall the details.,The details escaped her memory.,Negative to Positive
The quality is not consistent.,The quality is inconsistent.,Negative to Positive
The damage had been assessed by an independent adjuster.,An independent adjuster had assessed the damage.,Passive to Active
She declared that she would never surrender.,"She declared, 'I will never surrender!'",Indirect to Direct Speech
They announced that the results would be out that week.,"They announced, 'The results will be out this week.'",Indirect to Direct Speech
"My grandmother advised, ""Always follow your heart.""",My grandmother advised me that I should always follow my heart.,Direct to Indirect Speech
He walked to school.,He did not walk to school.,Positive to Negative
She doesn't appreciate criticism.,She dislikes criticism.,Negative to Positive
She asked if I was busy then.,"She asked, 'Are you busy now?'",Indirect to Direct Speech
I have a big appetite.,I do not have a big appetite.,Positive to Negative
"He complained, ""My phone battery keeps dying.""",He complained that his phone battery kept dying.,Direct to Indirect Speech
She wondered why he looked so familiar.,"She wondered, 'Why do you look so familiar?'",Indirect to Direct Speech
She has a good relationship with her family.,She does not have a good relationship with her family.,Positive to Negative
You must wear a helmet.,You must not wear a helmet.,Positive to Negative
"She thought aloud, ""This problem is harder than I expected.""",She thought aloud that that problem was harder than she had expected.,Direct to Indirect Speech
The new equipment will be purchased next quarter.,The company will purchase the new equipment next quarter.,Passive to Active
The explanation is not comprehensive.,The explanation is incomplete.,Negative to Positive
He explained that he had missed his appointment.,"He explained, 'I missed my appointment.'",Indirect to Direct Speech
The constant barking annoys the neighbors.,The neighbors are annoyed by the constant barking.,Active to Passive
The ball was caught by the fielder.,The fielder caught the ball.,Passive to Active
The problem can be addressed in the next meeting.,We can address the problem in the next meeting.,Passive to Active
The new policy had been discussed for months.,They had discussed the new policy for months.,Passive to Active
The principal awarded the valedictorian a special medal.,The valedictorian was awarded a special medal by the principal.,Active to Passive
"He confessed, ""I sometimes sneak snacks after bedtime.""",He confessed that he sometimes sneaked snacks after bedtime.,Direct to Indirect Speech
You must submit this application by Friday.,This application must be submitted by Friday.,Active to Passive
His words disappointed me.,I was disappointed by his words.,Active to Passive
You should respect everyone's personal space.,Everyone's personal space should be respected by you.,Active to Passive
They weren't supportive of our idea.,They were unsupportive of our idea.,Negative to Positive
The information is not confidential.,The information is public.,Negative to Positive
"He remarked, ""The train is usually on time.""",He remarked that the train was usually on time.,Direct to Indirect Speech
"She confessed, ""I sometimes listen to podcasts while working.""",She confessed that she sometimes listened to podcasts while working.,Direct to Indirect Speech
She wrote a compelling novel.,A compelling novel was written by her.,Active to Passive
The child pleaded with his mother to buy him a toy.,"The child pleaded with his mother, 'Please buy me a toy!'",Indirect to Direct Speech
My wallet was stolen last night.,Someone stole my wallet last night.,Passive to Active
The decision is not popular.,The decision is unpopular.,Negative to Positive
They had completed the research before the deadline.,The research had been completed by them before the deadline.,Active to Passive
He isn't very articulate.,He is inarticulate.,Negative to Positive
I asked her what her favorite color was.,"I asked her, 'What is your favorite color?'",Indirect to Direct Speech
The problem was solved by a team of experts.,A team of experts solved the problem.,Passive to Active
The incident worried the entire neighborhood.,The entire neighborhood was worried by the incident.,Active to Passive
The company promises reliable service to its clients.,Reliable service is promised to its clients by the company.,Active to Passive
He walked to the corner store.,He did not walk to the corner store.,Positive to Negative
"He declared, ""Our team will emerge victorious.""",He declared that their team would emerge victorious.,Direct to Indirect Speech
The police were interrogating the suspect.,The suspect was being interrogated by the police.,Active to Passive
His ideas are being considered by the committee.,The committee is considering his ideas.,Passive to Active
We didn't discover any new facts.,We discovered no new facts.,Negative to Positive
The audience enjoyed the play immensely.,The play was immensely enjoyed by the audience.,Active to Passive
They haven't addressed the issue.,The issue remains unaddressed.,Negative to Positive
The boss handed him the severance package.,The severance package was handed to him by the boss.,Active to Passive
She exclaimed that the party was fantastic.,"She exclaimed, 'The party is fantastic!'",Indirect to Direct Speech
She wouldn't listen to advice.,She disregarded advice.,Negative to Positive
The meeting is being held in the conference room.,They are holding the meeting in the conference room.,Passive to Active
We didn't make a profit.,We incurred a loss.,Negative to Positive
I asked her if she had any siblings.,"I asked her, 'Do you have any siblings?'",Indirect to Direct Speech
They haven't replied to our invitation.,Our invitation remains unreplied.,Negative to Positive
She couldn't find her way home.,She was lost on her way home.,Negative to Positive
He didn't pay attention.,He was inattentive.,Negative to Positive
"The child begged, ""Please, mom, let me stay up late.""",The child begged his mom to let him stay up late.,Direct to Indirect Speech
She wouldn't tolerate any excuses.,She demanded accountability.,Negative to Positive
The manager assigned everyone a specific task.,Everyone was assigned a specific task by the manager.,Active to Passive
The company has offered many students internships.,Many students have been offered internships by the company.,Active to Passive
The guide showed them the hidden ancient pathways.,The hidden ancient pathways were shown to them by the guide.,Active to Passive
"My friend admitted, ""I'm a little nervous about the presentation.""",My friend admitted that he was a little nervous about the presentation.,Direct to Indirect Speech
The house had been sold before we saw it.,They had sold the house before we saw it.,Passive to Active
The police are interviewing witnesses.,Witnesses are being interviewed by the police.,Active to Passive
He denied that he had made any mistakes.,"He denied, 'I did not make any mistakes.'",Indirect to Direct Speech
The results will be shared with the public.,They will share the results with the public.,Passive to Active
"They exclaimed, ""What a fantastic goal!""",They exclaimed that it was a fantastic goal.,Direct to Indirect Speech
"She asked tentatively, ""Is everything in order?""",She asked tentatively if everything was in order.,Direct to Indirect Speech
They haven't made a final decision.,Their final decision is pending.,Negative to Positive
The children ate all the cookies.,All the cookies were eaten by the children.,Active to Passive
You could lend me some money.,You could not lend me some money.,Positive to Negative
The victim was rescued by the emergency services.,The emergency services rescued the victim.,Passive to Active
"He whispered, ""The treasure is hidden in the cave.""",He whispered that the treasure was hidden in the cave.,Direct to Indirect Speech
He has no experience in this field.,He is inexperienced in this field.,Negative to Positive
The stadium is being built for the upcoming games.,Workers are building the stadium for the upcoming games.,Passive to Active
He played soccer yesterday.,He did not play soccer yesterday.,Positive to Negative
"She offered, ""I could help you with your presentation.""",She offered that she could help me with my presentation.,Direct to Indirect Speech
It's not always easy to be kind.,It's sometimes difficult to be kind.,Negative to Positive
"She wondered, ""Where did I leave my phone charger?""",She wondered where she had left her phone charger.,Direct to Indirect Speech
They weren't happy with the outcome.,They were unhappy with the outcome.,Negative to Positive
The incident worried the local authorities.,The local authorities were worried by the incident.,Active to Passive
The report has been submitted.,I have submitted the report.,Passive to Active
The committee granted him permission.,Permission was granted to him by the committee.,Active to Passive
The building was struck by a meteor.,A meteor struck the building.,Passive to Active
He is wearing a blue shirt.,He is not wearing a blue shirt.,Positive to Negative
"She asked kindly, ""Would you like a cup of tea?""",She asked kindly if I would like a cup of tea.,Direct to Indirect Speech
She has a good relationship.,She does not have a good relationship.,Positive to Negative
The guide instructed the tourists to follow him closely.,"The guide instructed the tourists, 'Follow me closely!'",Indirect to Direct Speech
"She pleaded, ""Please don't leave me alone.""",She pleaded with him not to leave her alone.,Direct to Indirect Speech
The government is considering new tax reforms.,New tax reforms are being considered by the government.,Active to Passive
The results are being analyzed by the researchers.,The researchers are analyzing the results.,Passive to Active
He said that he had just arrived.,"He said, 'I have just arrived.'",Indirect to Direct Speech
"The sign read, ""No entry beyond this point.""",The sign read that there was no entry beyond that point.,Direct to Indirect Speech
"The manager announced, ""The company is expanding its operations.""",The manager announced that the company was expanding its operations.,Direct to Indirect Speech
I am going to buy a gift.,I am not going to buy a gift.,Positive to Negative
They haven't provided any data.,They have provided no data.,Negative to Positive
Many trees were planted last season.,They planted many trees last season.,Passive to Active
"The children chanted, ""We want snacks! We want snacks!""",The children chanted that they wanted snacks.,Direct to Indirect Speech
"She asked sincerely, ""Are you happy here?""",She asked sincerely if I was happy there.,Direct to Indirect Speech
My friend helps me with my studies.,I am helped with my studies by my friend.,Active to Passive
The children were being driven to school.,Their father was driving the children to school.,Passive to Active
The artwork has been stolen.,Someone has stolen the artwork.,Passive to Active
They offered me a seat at the table.,I was offered a seat at the table by them.,Active to Passive
The car stopped suddenly.,The car did not stop suddenly.,Positive to Negative
They have enjoyed the trip.,They have not enjoyed the trip.,Positive to Negative
Funds are being raised for the charity.,Volunteers are raising funds for the charity.,Passive to Active
We are enjoying our vacation.,We are not enjoying our vacation.,Positive to Negative
The plants are being watered daily.,He is watering the plants daily.,Passive to Active
The old car has been repaired.,The mechanic has repaired the old car.,Passive to Active
The police officer warned the driver not to speed.,"The police officer warned the driver, 'Do not speed!'",Indirect to Direct Speech
The decision had been made before I arrived.,They had made the decision before I arrived.,Passive to Active
You could help me.,You could not help me.,Positive to Negative
They will have sold their old house.,Their old house will have been sold by them.,Active to Passive
The book is thin.,The book is not thin.,Positive to Negative
The field is being ploughed by the farmer.,The farmer is ploughing the field.,Passive to Active
The archeologists uncovered ancient artifacts.,Ancient artifacts were uncovered by the archeologists.,Active to Passive
The tourist said that he was enjoying his visit.,"The tourist said, 'I am enjoying my visit.'",Indirect to Direct Speech
You must secure all valuable items before leaving.,All valuable items must be secured before leaving.,Active to Passive
They didn't agree with the proposal.,They disagreed with the proposal.,Negative to Positive
"My friend suggested, ""Let's go for a walk in the park.""",My friend suggested that we go for a walk in the park.,Direct to Indirect Speech
He is preparing a presentation.,He is not preparing a presentation.,Positive to Negative
She admitted that she had underestimated the challenge.,"She admitted, 'I underestimated the challenge.'",Indirect to Direct Speech
I wouldn't be surprised if he won.,I would expect him to win.,Negative to Positive
The children were being supervised during playtime.,The teachers were supervising the children during playtime.,Passive to Active
The missing child was rescued from the well.,Rescuers rescued the missing child from the well.,Passive to Active
The train arrived on time.,The train did not arrive on time.,Positive to Negative
It's not an accurate prediction.,It's an inaccurate prediction.,Negative to Positive
They weren't aware of the risks.,They were unaware of the risks.,Negative to Positive
"He wondered aloud, ""What's the meaning of life?""",He wondered aloud what the meaning of life was.,Direct to Indirect Speech
It's not a fair deal.,It's an unfair deal.,Negative to Positive
"He promised, ""I will always be by your side.""",He promised that he would always be by my side.,Direct to Indirect Speech
It's not a common problem.,It's a rare problem.,Negative to Positive
The book is not worth reading.,The book is uninteresting to read.,Negative to Positive
"She questioned, ""Did you finish your project on time?""",She questioned if I had finished my project on time.,Direct to Indirect Speech
The management will approve the new marketing budget next week.,The new marketing budget will be approved by the management next week.,Active to Passive
"She explained, ""I missed my flight due to traffic.""",She explained that she had missed her flight due to traffic.,Direct to Indirect Speech
"The politician declared, ""We will bring about change.""",The politician declared that they would bring about change.,Direct to Indirect Speech
We are going on vacation.,We are not going on vacation.,Positive to Negative
The information is not accessible.,The information is inaccessible.,Negative to Positive
The tea is cold.,The tea is not cold.,Positive to Negative
"She admitted, ""I sometimes bite my nails when I'm stressed.""",She admitted that she sometimes bit her nails when she was stressed.,Direct to Indirect Speech
The police stated that the suspect was still at large.,"The police stated, 'The suspect is still at large.'",Indirect to Direct Speech
"He boasted, ""I can run faster than anyone else.""",He boasted that he could run faster than anyone else.,Direct to Indirect Speech
The decision had been approved by all members.,All members had approved the decision.,Passive to Active
We didn't raise any objections.,We raised no objections.,Negative to Positive
He has composed several symphonies.,Several symphonies have been composed by him.,Active to Passive
The artist will display his new sculptures.,His new sculptures will be displayed by the artist.,Active to Passive
"The sign stated, ""No Parking Any Time.""",The sign stated that there was no parking any time.,Direct to Indirect Speech
"She admitted, ""I sometimes procrastinate.""",She admitted that she sometimes procrastinated.,Direct to Indirect Speech
I am not convinced by his arguments.,I am unconvinced by his arguments.,Negative to Positive
I wouldn't want to be in your shoes.,I prefer a different situation.,Negative to Positive
They weren't able to complete the task.,They were unable to complete the task.,Negative to Positive
She wondered what she should do next.,"She wondered, 'What should I do next?'",Indirect to Direct Speech
"The old man reminisced, ""I remember when cars were a luxury.""",The old man reminisced that he remembered when cars had been a luxury.,Direct to Indirect Speech
I can swim across the pool easily.,I cannot swim across the pool easily.,Positive to Negative
We are getting a new pet.,We are not getting a new pet.,Positive to Negative
It's not a difficult concept.,It's a simple concept.,Negative to Positive
The cat was rescued from the tree.,The firefighter rescued the cat from the tree.,Passive to Active
The old records were carefully sorted.,They carefully sorted the old records.,Passive to Active
They didn't show any enthusiasm.,They showed a lack of enthusiasm.,Negative to Positive
The school will give scholarships to deserving students.,Scholarships will be given to deserving students by the school.,Active to Passive
She had a good impression.,She did not have a good impression.,Positive to Negative
The budget is being prepared by the finance team.,The finance team is preparing the budget.,Passive to Active
The judge announced the verdict.,The verdict was announced by the judge.,Active to Passive
"My father warned, ""Don't play with fire.""",My father warned me not to play with fire.,Direct to Indirect Speech
They have cooked dinner.,They have not cooked dinner.,Positive to Negative
You must lock the doors at night.,The doors must be locked at night.,Active to Passive
The principal awarded the prizes.,The prizes were awarded by the principal.,Active to Passive
She has a beautiful garden.,She does not have a beautiful garden.,Positive to Negative
"She wondered, ""Why is he so quiet today?""",She wondered why he was so quiet that day.,Direct to Indirect Speech
We didn't find any significant findings.,We found no significant findings.,Negative to Positive
She agreed that it was a fair proposal.,"She agreed, 'It is a fair proposal.'",Indirect to Direct Speech
The children are playing outside.,The children are not playing outside.,Positive to Negative
He painted the fence.,He did not paint the fence.,Positive to Negative
She declared that she would never compromise her values.,"She declared, 'I will never compromise my values!'",Indirect to Direct Speech
She had seen that movie before.,She had not seen that movie before.,Positive to Negative
The company made a profit.,The company did not make a profit.,Positive to Negative
I don't endorse their behavior.,I disapprove of their behavior.,Negative to Positive
The weather is humid.,The weather is not humid.,Positive to Negative
The evidence is not conclusive.,The evidence is inconclusive.,Negative to Positive
She asked if I believed in magic.,"She asked, 'Do you believe in magic?'",Indirect to Direct Speech
The captivating story entertained everyone.,Everyone was entertained by the captivating story.,Active to Passive
The package was sent yesterday.,I sent the package yesterday.,Passive to Active
The company must pay its employees.,Its employees must be paid by the company.,Active to Passive
"She offered, ""I can help you prepare for your presentation.""",She offered that she could help me prepare for my presentation.,Direct to Indirect Speech
We will have a great time.,We will not have a great time.,Positive to Negative
It's not a good time to call.,It's a bad time to call.,Negative to Positive
He didn't give any warnings.,He gave no warnings.,Negative to Positive
The bank gave her a significant promotion within the company.,A significant promotion within the company was given to her by the bank.,Active to Passive
The light is dim.,The light is not dim.,Positive to Negative
"She regretted, ""I should have taken that job offer.""",She regretted that she should have taken that job offer.,Direct to Indirect Speech
It's not a temporary solution.,It's a permanent solution.,Negative to Positive
The boss ordered his employees to work overtime.,"The boss ordered his employees, 'Work overtime!'",Indirect to Direct Speech
"She asked timidly, ""May I borrow your pen?""",She asked timidly if she might borrow my pen.,Direct to Indirect Speech
I don't like unfairness.,I dislike unfairness.,Negative to Positive
The student requested the teacher to extend the deadline.,"The student requested the teacher, 'Please extend the deadline.'",Indirect to Direct Speech
"She confirmed, ""I have already packed my bags.""",She confirmed that she had already packed her bags.,Direct to Indirect Speech
"He reminded me, ""Your appointment is at 10 AM tomorrow.""",He reminded me that my appointment was at 10 AM the next day.,Direct to Indirect Speech
She has a unique perspective.,She does not have a unique perspective.,Positive to Negative
He has finished his homework already.,He has not finished his homework already.,Positive to Negative
I don't regret my decision.,I stand by my decision.,Negative to Positive
We will meet again soon.,We will not meet again soon.,Positive to Negative
They have finished the project.,They have not finished the project.,Positive to Negative
You must listen carefully.,You must not listen carefully.,Positive to Negative
Someone has consumed all the snacks.,All the snacks have been consumed.,Active to Passive
The new system is being installed.,Technicians are installing the new system.,Passive to Active
We will celebrate her birthday.,We will not celebrate her birthday.,Positive to Negative
We will help you.,We will not help you.,Positive to Negative
She wears glasses for reading.,She does not wear glasses for reading.,Positive to Negative
The government funds public services.,Public services are funded by the government.,Active to Passive
"He promised, ""I will finish this task by lunchtime.""",He promised that he would finish that task by lunchtime.,Direct to Indirect Speech
He isn't very considerate.,He is inconsiderate.,Negative to Positive
The project should be finished this month.,We should finish the project this month.,Passive to Active
The new system is being developed by a local team.,A local team is developing the new system.,Passive to Active
He didn't seem surprised.,He seemed unsurprised.,Negative to Positive
We will travel by plane to Paris.,We will not travel by plane to Paris.,Positive to Negative
You mustn't touch that.,You are forbidden to touch that.,Negative to Positive
"The child begged, ""Can I have some more cake?""",The child begged to have some more cake.,Direct to Indirect Speech
She lives near the beach.,She does not live near the beach.,Positive to Negative
We will eat dinner together.,We will not eat dinner together.,Positive to Negative
She has a passion for art.,She does not have a passion for art.,Positive to Negative
The incident surprised the community.,The community was surprised by the incident.,Active to Passive
We didn't make any profits.,We incurred losses.,Negative to Positive
We should help them.,We should not help them.,Positive to Negative
She could solve the puzzle quickly.,She could not solve the puzzle quickly.,Positive to Negative
"My teacher asked, ""Who knows the capital of France?""",My teacher asked who knew the capital of France.,Direct to Indirect Speech
New apartments are being constructed.,Builders are constructing new apartments.,Passive to Active
The instructions are being clarified.,The manager is clarifying the instructions.,Passive to Active
I wondered who had left the door open.,"I wondered, 'Who left the door open?'",Indirect to Direct Speech
"She asked, ""Could you pass me the remote?""",She asked if I could pass her the remote.,Direct to Indirect Speech
The reporter stated that the investigation was ongoing.,"The reporter stated, 'The investigation is ongoing.'",Indirect to Direct Speech
She teaches math.,She does not teach math.,Positive to Negative
The baby is sleeping soundly.,The baby is not sleeping soundly.,Positive to Negative
"My friend suggested, ""Let's visit the museum this weekend.""",My friend suggested that they visit the museum that weekend.,Direct to Indirect Speech
The concert ended late.,The concert did not end late.,Positive to Negative
The weather is cool.,The weather is not cool.,Positive to Negative
The entire town was affected by the power outage.,The power outage affected the entire town.,Passive to Active
"She explained, ""I forgot my wallet at home.""",She explained that she had forgotten her wallet at home.,Direct to Indirect Speech
He has no respect for authority.,He disrespects authority.,Negative to Positive
The old house had been vacant for years.,No one had occupied the old house for years.,Passive to Active
